"","X","LUCAS_LC","S2.1","S2.2","S2.3","S2.4","S2.5","S2.6","S2.7","S2.8","S2.9","S2.10","SRTM","TimeScan.NDBImax","TimeScan.NDBImin","TimeScan.NDBIavg","TimeScan.NDBIsd","TimeScan.NDBIslope","TimeScan.mNDWImax","TimeScan.mNDWImin","TimeScan.mNDWIavg","TimeScan.mNDWIsd","TimeScan.mNDWIslope","TimeScan.NDVImax","TimeScan.NDVImin","TimeScan.NDVIavg","TimeScan.NDVIsd","TimeScan.NDVIslope","GUF","L8.evi","L8.msavi","L8.ndmi","L8.ndvi","L8.savi","L7.evi","L7.msavi","L7.ndmi","L7.ndvi","L7.savi","MOD.evi","MOD.ndvi","x","y","LCname"
"21",21,1,0.0815025568008423,0.0976766273379326,0.102154783904552,0.117538593709469,0.128602281212807,0.1326062977314,0.128022760152817,0.141246512532234,0.145777359604836,0.126916393637657,320.670532226562,-0.568060696125031,-0.713992059230804,-0.635374128818512,0.044030673801899,0.0465394034981728,0.738634467124939,0.571268558502197,0.628454208374023,0.0401091240346432,0.0411637164652348,0.313668727874756,-0.0198644902557135,0.108763836324215,0.0991134122014046,0.10810811072588,NA,0.212738886475563,0.199588894844055,0.00200555566698313,0.325872212648392,0.220213890075684,0.314369440078735,0.263150006532669,0.118874996900558,0.45418056845665,0.287466675043106,0.387341618537903,0.501285672187805,611345,5527775,"urban"
"22",22,1,0.0129076447337866,0.0268162898719311,0.0216532330960035,NA,NA,NA,0.159580633044243,NA,NA,NA,289.916168212891,-0.624592185020447,-0.8172407746315,-0.701030492782593,0.0566803961992264,0.0634850710630417,0.777723371982574,0.524836480617523,0.590517580509186,0.0585964359343052,0.0633412301540375,0.62422913312912,0.108486697077751,0.304638773202896,0.154853522777557,0.157524600625038,NA,0.518516659736633,0.501097202301025,0.243291661143303,0.715422213077545,0.49832221865654,0.527411103248596,0.479588896036148,0.183658331632614,0.725911140441895,0.483700007200241,0.605743765830994,0.583163976669312,616115,5526355,"urban"
"23",23,1,0.0238132867962122,0.0433064661920071,0.0316105596721172,0.0759180262684822,0.184236869215965,0.216163530945778,0.222854435443878,0.224013492465019,0.114746324717999,0.0704388618469238,438.23486328125,-0.568001747131348,-0.850079894065857,-0.679873168468475,0.0771935507655144,0.0649523288011551,0.682237029075623,0.543977320194244,0.615649223327637,0.0464761182665825,0.0503865778446198,0.625534892082214,-0.04313850030303,0.222938522696495,0.194729551672935,0.144407719373703,NA,0.533083319664001,0.51725834608078,0.313641667366028,0.722241640090942,0.513616681098938,0.268608331680298,0.249349996447563,-0.0526500009000301,0.408158332109451,0.272974997758865,0.476493239402771,0.559973537921906,613375,5533605,"urban"
"24",24,1,0.0151203833520412,0.0275011844933033,0.021126389503479,0.0507876314222813,0.137822031974792,0.186554983258247,0.193878084421158,0.204151526093483,0.0888783484697342,0.0470470488071442,269.180480957031,-0.563690841197968,-0.879572749137878,-0.663202226161957,0.0924620255827904,0.096810445189476,0.747999608516693,0.551684021949768,0.628102779388428,0.0524904280900955,0.071073092520237,0.597584187984467,-0.0408796966075897,0.149642154574394,0.185974568128586,0.166791945695877,NA,0.344783335924149,0.331225007772446,0.148083329200745,0.517016649246216,0.352474987506866,0.237991660833359,0.213833332061768,-0.0149833336472511,0.339033335447311,0.234716668725014,0.39159768819809,0.524188160896301,611055,5536085,"urban"
"25",25,1,0.0167009122669697,0.0331384018063545,0.0234444979578257,0.0691217556595802,0.163953423500061,0.190611660480499,0.194457620382309,0.203888103365898,0.0925135686993599,0.0513671562075615,325.305145263672,-0.543217837810516,-0.776951193809509,-0.661579787731171,0.0727671608328819,0.0746268779039383,0.699860990047455,0.547718584537506,0.617923617362976,0.0407411009073257,0.0411601103842258,0.446331679821014,-0.0316203981637955,0.181673839688301,0.157825082540512,0.12816333770752,NA,0.32653334736824,0.296213895082474,0.166958332061768,0.427525013685226,0.314847230911255,0.131011113524437,0.114105552434921,-0.0740527808666229,0.226686105132103,0.133341670036316,0.442888230085373,0.568323612213135,608015,5527465,"urban"
"26",26,1,0.0180180184543133,0.0289763454347849,0.0217586010694504,0.0477319434285164,0.130288183689117,0.142089456319809,0.103735312819481,0.1627416908741,0.118434220552444,0.0861914530396461,316.687316894531,-0.645504415035248,-0.830647468566895,-0.746321141719818,0.054206445813179,0.0509558543562889,0.766188263893127,0.523830115795135,0.583662033081055,0.0701424404978752,0.0778908431529999,0.649842321872711,0.266361147165298,0.474616706371307,0.124093614518642,0.113918080925941,NA,0.542308330535889,0.532705545425415,0.227641671895981,0.78288334608078,0.522497236728668,0.471636116504669,0.429119437932968,0.232844442129135,0.719138860702515,0.442091673612595,0.356000006198883,0.458400011062622,611495,5527655,"urban"
"27",27,1,0.0133818024769425,0.0241820774972439,0.0154364891350269,0.0385648794472218,0.132500916719437,0.191928774118423,0.201148509979248,0.205573990941048,0.0702808052301407,0.0330857187509537,263.924835205078,-0.56604939699173,-0.851890444755554,-0.668473601341248,0.0778006315231323,0.0971230641007423,0.795624196529388,0.582141220569611,0.650422513484955,0.0560774579644203,0.0758253708481789,0.57079029083252,-0.0587747469544411,0.119870983064175,0.163549646735191,0.16851519048214,NA,0.306650012731552,0.293536096811295,0.235180556774139,0.485130548477173,0.318002790212631,0.240122228860855,0.211888894438744,0.0413444451987743,0.347794443368912,0.234033331274986,0.381252706050873,0.507700145244598,611225,5536265,"urban"
"28",28,1,0.0130130127072334,0.0320320315659046,0.0205995477735996,0.0617459565401077,0.15778936445713,0.184184178709984,0.191823408007622,0.203677356243134,0.118486911058426,0.0598493218421936,369.719024658203,-0.617259323596954,-0.839888989925385,-0.718333601951599,0.0633004233241081,0.0725186318159103,0.696940064430237,0.446669220924377,0.568831741809845,0.0672637671232224,0.0745657458901405,0.694491147994995,0.1912961602211,0.38984426856041,0.158907949924469,0.157479524612427,NA,0.665416657924652,0.660302758216858,0.318322211503983,0.865844428539276,0.615052759647369,0.630872249603271,0.579891681671143,0.32173889875412,0.808219432830811,0.559661090373993,0.380608588457108,0.537166655063629,610075,5529265,"urban"
"29",29,1,0.0184394922107458,0.0323481373488903,0.0321374014019966,0.0787629708647728,0.153416574001312,0.185764715075493,0.193667352199554,0.199199199676514,0.12206944078207,0.0894051939249039,379.658935546875,-0.563985824584961,-0.755755424499512,-0.67137885093689,0.0576703734695911,0.0679698884487152,0.799267530441284,0.564021289348602,0.649624526500702,0.0710984021425247,0.0775961652398109,0.347586572170258,-0.0800059586763382,0.10808788985014,0.118757084012032,0.107364535331726,NA,0.336316674947739,0.321516662836075,0.120683334767818,0.525033354759216,0.342666655778885,0.234733328223228,0.212633326649666,-0.00904166698455811,0.360275000333786,0.236116662621498,0.401199966669083,0.548188209533691,613135,5532765,"urban"
"30",30,1,0.0416732504963875,0.0486802607774734,0.0580053739249706,0.0654338523745537,0.0740213915705681,0.0830830857157707,0.0888256654143333,0.0827142968773842,0.107739321887493,0.0974658876657486,314.815734863281,-0.524932265281677,-0.706042170524597,-0.604641139507294,0.0551405213773251,0.0604344308376312,0.691713869571686,0.494986832141876,0.583088278770447,0.0583926253020763,0.0622270219027996,0.326541215181351,-0.0392867922782898,0.15227834880352,0.112166434526443,0.127080500125885,1,0.203083336353302,0.185825005173683,-0.07447499781847,0.39689165353775,0.214633330702782,0.204433336853981,0.167125001549721,0.000333333329763263,0.398408323526382,0.197041660547256,0.357656270265579,0.463630050420761,611425,5527425,"urban"
"31",31,1,0.0161213837563992,0.0316105596721172,0.0198619663715363,0.0654865428805351,0.157104477286339,0.178915753960609,0.210420951247215,0.184236869215965,0.121964067220688,0.0792371332645416,327.768035888672,-0.590772271156311,-0.771303772926331,-0.679274320602417,0.0491421483457088,0.057638481259346,0.78869354724884,0.527198493480682,0.611766219139099,0.0686209350824356,0.0674824938178062,0.40259575843811,0.102863945066929,0.244281232357025,0.0853793025016785,0.103892154991627,1,0.361225008964539,0.342350006103516,0.111024998128414,0.563324987888336,0.36387500166893,0.341600000858307,0.29559999704361,0.131074994802475,0.528625011444092,0.321999996900558,0.359448552131653,0.511917769908905,607875,5527095,"urban"
"32",32,1,0.0318212956190109,0.0396185666322708,0.0418313033878803,0.0571624264121056,0.116906382143497,0.126547604799271,0.106158792972565,0.139086455106735,0.108476899564266,0.079658605158329,347.239105224609,-0.593088686466217,-0.732630789279938,-0.671955168247223,0.0396422147750854,0.0416386313736439,0.695638656616211,0.575410604476929,0.606997728347778,0.0316088497638702,0.030633581802249,0.376601964235306,0.0177204348146915,0.235570058226585,0.0997093245387077,0.107203289866447,NA,0.435052782297134,0.413700014352798,0.178561106324196,0.673675000667572,0.429461121559143,0.436002790927887,0.245363891124725,0.0534583330154419,0.277927786111832,0.252000004053116,0.247133925557137,0.379222244024277,615035,5533595,"urban"
"33",33,1,0.0168062802404165,0.0331384018063545,0.0266582369804382,0.0765502378344536,0.149675995111465,0.174226865172386,0.215636685490608,0.194562986493111,0.114377535879612,0.0790263935923576,361.073211669922,-0.572139382362366,-0.824431896209717,-0.682449638843536,0.0674556791782379,0.0653083696961403,0.65734189748764,0.472274631261826,0.566370785236359,0.0507259108126163,0.0475671999156475,0.600631296634674,0.168071910738945,0.298912286758423,0.107574693858624,0.0984906777739525,NA,0.394625008106232,0.376413881778717,0.176850005984306,0.567411124706268,0.393094450235367,0.24481388926506,0.222000002861023,-0.0210611112415791,0.357008337974548,0.243499994277954,0.509054601192474,0.617419123649597,607825,5527885,"urban"
"34",34,1,0.018334124237299,0.0332437716424465,0.0269743427634239,0.0545808970928192,0.147357881069183,0.187081813812256,0.189821407198906,0.204414933919907,0.0860860869288445,0.0441494137048721,330.330627441406,-0.517982065677643,-0.858377635478973,-0.666047155857086,0.101440981030464,0.11256792396307,0.692902088165283,0.47708460688591,0.592057466506958,0.0694696009159088,0.0823299512267113,0.696145594120026,-0.0354460291564465,0.227922990918159,0.186415702104568,0.177663058042526,NA,0.295749992132187,0.289866656064987,0.00771666644141078,0.410558342933655,0.307408332824707,0.295841664075851,0.262650012969971,0.109391666948795,0.413341671228409,0.283816665410995,0.571868121623993,0.645638048648834,610025,5527605,"urban"
"35",35,1,0.00842948257923126,0.0162267535924911,0.00800800789147615,0.0285548698157072,0.111216478049755,0.15499709546566,0.154101476073265,0.157157152891159,0.0712818056344986,0.030767610296607,418.032989501953,-0.591077327728271,-0.814046740531921,-0.731592178344727,0.0833635106682777,0.0786733329296112,0.711672186851501,0.548897683620453,0.620771825313568,0.0381798818707466,0.0382943525910378,0.613089919090271,0.119529068470001,0.387277036905289,0.191109091043472,0.200739488005638,NA,0.54449999332428,0.533791661262512,0.390741676092148,0.85185831785202,0.520741641521454,0.445674985647202,0.397458344697952,0.34973332285881,0.821550011634827,0.421099990606308,0.212590843439102,0.25911608338356,616585,5530335,"urban"
"36",36,1,0.0967283099889755,0.100047416985035,0.105315841734409,0.091301828622818,0.109319843351841,0.10926716029644,0.135820031166077,0.118855699896812,0.142668977379799,0.124545596539974,422.907989501953,-0.560129284858704,-0.755998969078064,-0.660583138465881,0.0672183483839035,0.0778962969779968,0.752989709377289,0.55079847574234,0.62414425611496,0.0631164237856865,0.0507231466472149,0.405338674783707,-0.0762725546956062,0.185072168707848,0.13915704190731,0.149464398622513,NA,0.375672221183777,0.353591680526733,0.124730557203293,0.576002776622772,0.374913901090622,0.351938903331757,0.2924944460392,0.0878972187638283,0.510133326053619,0.318422228097916,0.317339926958084,0.373462408781052,614705,5531375,"urban"
"37",37,1,0.0193878095597029,0.0375638790428638,0.029766608029604,0.0630103796720505,0.146198824048042,0.165375903248787,0.209051162004471,0.203519314527512,0.10647489875555,0.0596385858952999,350.244964599609,-0.638546764850616,-0.802994728088379,-0.710467517375946,0.0443354547023773,0.043823704123497,0.738825559616089,0.516710340976715,0.59603226184845,0.0580331273376942,0.0659371390938759,0.505652070045471,0.139941498637199,0.351984173059464,0.113433219492435,0.109905883669853,NA,0.481136113405228,0.462913900613785,0.183227777481079,0.709866642951965,0.470155566930771,0.438724994659424,0.33429166674614,0.128875002264977,0.472755551338196,0.351336121559143,0.261967718601227,0.464449912309647,614635,5534605,"urban"
"38",38,1,0.0094831669703126,0.0266582369804382,0.0181233864277601,0.0462567843496799,0.133027762174606,0.164111480116844,0.179126501083374,0.188082814216614,0.0834518745541573,0.0386702492833138,425.621337890625,-0.581847131252289,-0.840933918952942,-0.708956301212311,0.0602476038038731,0.0572724305093288,0.696370661258698,0.56401914358139,0.618833541870117,0.0421413965523243,0.0502781495451927,0.612699568271637,0.0349157080054283,0.292017698287964,0.15044941008091,0.123637549579144,NA,0.392594456672668,0.380161106586456,0.283038884401321,0.596730530261993,0.393855541944504,0.292055547237396,0.249344438314438,0.0335472226142883,0.408883333206177,0.270808339118958,0.360346853733063,0.551044106483459,613825,5533915,"urban"
